"Singapore growth at 8.1% in 2004  Singapore's economy grew by 8.1% in 2004, its best performance since 2000, figures from the trade ministry show.  The advance, the second-fastest in Asia after China, was led by growth of 13.1% in the key manufacturing sector. However, a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back. Slowdowns in the US and China could hit electronics exports, while the tsunami disaster may effect the service sector.  Economic growth is set to halve in Singapore this year to between 3% and 5%. In the fourth quarter, the city state's gross domestic product (GDP) rose at an annual rate of 2.4%. That was up from the third quarter, when it fell 3.0%, but was well below analyst forecasts. ""I am surprised at the weak fourth quarter number. The main drag came from electronics,"" said Lian Chia Liang, economist at JP Morgan Chase. Singapore's economy had contracted over the summer, weighed down b",business
"Turkey knocks six zeros off lira  Turkey is to relaunch its currency on Saturday, knocking six zeros off the lira in the hope of boosting trade and powering its growing economy.  The change will see the end of such dizzyingly-high denominations as five million lira - enough for a short taxi ride - and the 20m note, worth $15. These valuations were the product of decades of inflation which, as recently as 2001, was as high as 70%. Inflation has since been tamed and economic prospects are improving.  The currency - officially to be known as the new lira - will be launched at midnight on 1 January. From that point, the one-million lira note will become the new one-lira coin. The government hopes the change will be seen as a promise of growing economic stability as Turkey embarks on the long process of trying to join the European Union.  On an everyday level, it is hoped the change will stimulate more international trade and end confusion among foreign investors and Turks alike. ""The transition to the ne",business
"S Korea spending boost to economy  South Korea will boost state spending next year in an effort to create jobs and kick start its sputtering economy.  It has earmarked 100 trillion won ($96bn) for the first six months of 2005, 60% of its total annual budget. The government's main problems are ""slumping consumption and a contraction in the construction industry"". It aims to create 400,000 jobs and will focus on infrastructure and home building, as well as providing public firms with money to hire new workers.  The government has set an economic growth rate target of 5% for next year and hinted that would be in danger unless it took action. ""Internal and external economic conditions are likely to remain unfavourable in 2005,"" the Finance and Economy Ministry said in a statement.  It blamed ""continuing uncertainties such as fluctuating oil prices and foreign exchange rates and stagnant domestic demand that has shown few signs of a quick rebound"". In 2004, growth will be between 4.7% and 4",business
"Latin America sees strong growth  Latin America's economy grew by 5.5% in 2004, its best performance since 1980, while exports registered their best performance in two decades.  The United Nations' Economic Commission for Latin America and the Caribbean said the region grew by 5.5% this year. The Inter-American Development Bank (IADB) said regional exports reached $445.1bn (Ã‚Â£227bn;331bn euros) in 2004. Doubts about the strength of the US recovery and overheating of the Chinese economy do however pose risks for 2005. Both organisations also warned that high oil prices raise the risk of either inflation or recession.  Nevertheless, the Economic Commission for Latin America and the Caribbean (ECLAC) still forecasts growth of 4% for 2005. Strong recovery in some countries, such as Venezuela and Uruguay, boosted the overall performance of the region. ECLAC also said that the six largest Latin American economies (Argentina, Brazil, Chile, Colombia, Mexico and Venezuela) grew by more than 3% for only the secon",business
"Asia shares defy post-quake gloom  Indonesian, Indian and Hong Kong stock markets reached record highs.  Investors seemed to feel that some of the worst-affected areas were so under-developed that the tragedy would have little impact on Asia's listed firms. ""Obviously with a lot of loss of life, a lot of time is needed to clean up the mess, bury the people and find the missing,"" said ABN Amro's Eddie Wong. ""[But] it's not necessarily a really big thing in the economic sense.""  India's Bombay Stock Exchange inched slightly above its previous record close on Wednesday. Expectations of strong corporate earnings in 2005 drove the Indonesian stock exchange in Jakarta to a record high on Wednesday. In Hong Kong, the Hang Seng index may be benefiting in part from the potential for its listed property companies to gain from rebuilding contracts in the tsunami-affected regions of South East Asia. In Sri Lanka, some economists have said that as much as 1% of annual growth may be lost. Sri Lanka's stoc",business
"Booming markets shed few tears  The market, former British government minister Michael Heseltine once said, has no morality.  And indeed, stock exchange traders around Asia have wasted little time regretting the victims of this week's disaster. Stock markets in Indonesia and India have hit all-time highs this week; even in Sri Lanka, more comprehensively affected, the main index has lost only 5% since the waves hit. Bigger markets further afield have barely twitched. The MSCI World share index, a measure of global stock market performance, hit its highest level this week since early 2001; the BBC Global 30 has risen by 3% in the past week. And this at a time when - all sentiment aside - insurance costs are already estimated in the tens of billions of dollars, and countries around the region are looking at trimming their growth forecasts.  In fact, the markets are being perfectly rational.  For a start, the notional insurance cost of the disaster will have little bearing on corporate bottom lines. The ov",business
"Asian quake hits European shares  Shares in Europe's leading reinsurers and travel firms have fallen as the scale of the damage wrought by tsunamis across south Asia has become apparent.  More than 23,000 people have been killed following a massive underwater earthquake and many of the worst hit areas are popular tourist destinations. Reisurance firms such as Swiss Re and Munich Re lost value as investors worried about rebuilding costs. But the disaster has little impact on stock markets in the US and Asia.  Currencies including the Thai baht and Indonesian rupiah weakened as analysts warned that economic growth may slow. ""It came at the worst possible time,"" said Hans Goetti, a Singapore-based fund manager. ""The impact on the tourist industry is pretty devastating, especially in Thailand."" Travel-related shares dropped in Europe, with companies such as Germany's TUI and Lufthansa and France's Club Mediterranne sliding. Insurers and reinsurance firms were also under pressure in Europe.  Shar",business
"Split-caps pay Ã‚Â£194m compensation  Investors who lost money following the split-capital investment trust scandal are to receive Ã‚Â£194m compensation, the UK's financial watchdog has announced.  Eighteen investment firms involved in the sale of the investments agreed the compensation package with the Financial Services Authority (FSA). Splits were marketed as a low-risk way to benefit from rising share prices. But when the stock market collapsed in 2000, the products left thousands of investors out of pocket. An estimated 50,000 people took out split-capital funds, some investing their life savings in the schemes. The paying of compensation will be overseen by an independent company, the FSA said.  Further details of how investors will be able to claim their share of the compensation package will be announced in the new year. ""This should save investors from having to take their case to the Financial Ombudsman Service, something, no doubt, that will be very welcome,"" Rob McIvor, FSA spokesman, told B",business
"French suitor holds LSE meeting  European stock market Euronext has met with the London Stock Exchange (LSE) amid speculation that it may be ready to launch a cash bid.  Euronext chief Jean-Francois Theodore held talks with LSE boss Clara Furse the day after rival Deutsche Boerse put forward its own bid case. The German exchange said it had held ""constructive, professional and friendly"" talks with the LSE. But Euronext declined to comment after the talks ended on Friday. Speculation is mounting that the Germans may raise their bid to Ã‚Â£1.5bn. Deutsche Boerse previously offered Ã‚Â£1.3bn, which was rejected by the LSE, while Euronext is rumoured to have facilities in place to fund a Ã‚Â£1.4bn cash bid. So far, however, neither have tabled a formal bid. But a deal with either bidder would create the biggest stock market operator in Europe and the second biggest in the world after the New York Stock Exchange.  There was speculation Euronext would use Friday's meeting as an opportunity to take advantage of ",business
"Troubled Marsh under SEC scrutiny  The US stock market regulator is investigating troubled insurance broker Marsh & McLennan's shareholder transactions, the firm has said.  The Securities and Exchange Commission has asked for information about transactions involving holders of 5% or more of the firm's shares. Marsh has said it is co-operating fully with the SEC investigation. Marsh is also the focus of an inquiry the New York attorney-general into whether insurers rigged the market. Since that inquiry was launched in October, Marsh has replaced its chief executive and held a boardroom shake-out to meet criticism by lessening the number of company executives on the board. Prosecutors allege that Marsh - the world's biggest insurance broker - and other US insurance firms may have fixed bids for corporate cover. This is the issue at the heart of the inquiry by New York's top law officer, Eliot Spitzer, and a separate prosecution of five insurers by the State of California. The SEC's investigation into so-c",business
